Q,Section,Question,Options given,Answer read from highlight,Read confidence,Status,Conflict / note
Q22,B. Booking fee,Change eyeliner wording from 'reschedule within 48 hours' to 'more than 48 hours before'?,"Yes / No, 'within' is what I mean",Yes,High,Answered,"CONFLICT: Q20 sets the policy at 24 hours. If 24 hours is the single site-wide rule, this wording should read 'more than 24 hours before'. Confirm which number wins before publishing the policy block."
Q23,B. Booking fee,"Does the $50 apply to non-PMU bookings (lash, whitening, gems)?",PMU only / All bookings / Other,PMU only,High,Answered,"Booking-fee notice appears on PMU pages only, not lash/smile pages."
Q24,B. Booking fee,No-show — what happens?,Lose the $50 / Lose $50 + can't rebook online / Other,Lose the $50,High,Answered,
Q25,B. Booking fee,Late arrival — how late before you cancel?,10 / 15 / 20 min / Other,10 min,High,Answered,
Q26,C. Still offered?,"Emergency saline removal — on site at $150, not bookable",Yes / No,Yes,Medium — mark is over the box before 'Yes',Answered,"If yes, it needs to become bookable, and the $150 vs $125 conflict from Q4 has to resolve."
Q27,C. Still offered?,Emergency saline removal — what's the window?,24 hrs / 48 hrs / Other,24 hrs,High,Answered,Site currently says 48 hrs in one place and 24–48 in another. Both get corrected to 24.
Q28,C. Still offered?,Emergency saline removal — after-hours fee (after 9pm / before 8am),$__,BLANK,—,BLOCKED,AMOUNT MISSING. Can't publish an emergency service with an unstated surcharge.
Q29,C. Still offered?,Breast augmentation scar camouflage — still offered?,Yes / No,No,Medium — mark sits over the box before 'No',Answered,Remove the single mention from the site entirely.
Q30,C. Still offered?,"Permanent makeup training — bio advertises it, not bookable","Yes, I teach PMU — $__ / No, remove it","No, remove it from the site",High,Answered,CONFLICT with Q52 — see Q52. Strip PMU training from the bio; lash lift and whitening training survive.
Q31,C. Still offered?,Derol lip plumping kit,Yes — $__ / No,Yes — $____,"High on choice, amount BLANK",BLOCKED,AMOUNT MISSING. Also decides whether a retail/product page is needed beyond the lash serum page.
Q32,C. Still offered?,Lash lift aftercare products (site says '$20–$45' but names none),Yes — list them / No,NO MARK FOUND,—,BLOCKED,"Unanswered. Either name the products and prices, or drop the '$20–$45' claim from the lash lift page."
Q33,D. Fat cavitation,Is fat cavitation / lipolaser available now?,Yes bookable / Not yet — expected __ / Not going ahead,Not yet — expected: ____,"High on choice, date BLANK",Answered,Date missing but doesn't block the build — see Q34.
Q34,D. Fat cavitation,"Leave fat cavitation off the new site until description, contraindications and aftercare exist?","Agree, leave it off / No, include it","Agree, leave it off for now",High,Answered,No fat cavitation page in this build. The architecture note about /skin-tightening/ becoming a 'Skin & Body' hub stays parked.
Q35,E. Medical,Lupus / rheumatoid arthritis eligibility (site contradicts itself),Never eligible / Eligible if controlled with doctor's note / Case by case,"Eligible if controlled, with doctor's note",High,Answered,"One wording, used identically on every PMU page."
Q36,E. Medical,Celiac / Crohn's — currently in both the 'fine' and 'needs doctor's OK' lists,Fine to proceed / Needs doctor's OK,Fine to proceed,High,Answered,Remove from the 'needs doctor's OK' list everywhere.
Q37,E. Medical,Microblading — how long does it really last?,9–12 months / 1–2 years / Other,1–2 years,High,Answered,Site currently says 9–12 months in one place and 1–3 years in another. Both become 1–2 years.
Q38,E. Medical,Microblade first touch-up — time limit?,Within 2 months / Within __ / No limit,Within 2 months,High,Answered,Matches the powder brow rule. One consistent touch-up window across PMU.
Q39,E. Medical,"If someone misses the touch-up window, do they pay the $170 colour boost instead?",Yes / No,No,"Medium — mark is at the line end, over the box before 'No'",Answered,"GAP: if not the $170 colour boost, then what do they pay? Needs an answer before touch-up pricing can be published under Q50."
Q40,F. Written answers,Opening hours (Mon–Sun),(written answer),BLANK,—,BLOCKED,"HIGHEST-IMPACT BLANK. Blocks LocalBusiness schema, the footer, the contact page and the Google Business Profile."
Q41,F. Written answers,Full teeth whitening contraindication list,(written answer),BLANK,—,BLOCKED,Blocks publication of /smile/teeth-whitening/ and /smile/sensitive-teeth-whitening/.
Q42,F. Written answers,Saline removal aftercare — what do you tell people about the scab?,(written answer),BLANK,—,BLOCKED,Blocks publication of /permanent-makeup/saline-tattoo-removal/.
Q43,F. Written answers,Tooth gem aftercare,(written answer),BLANK,—,BLOCKED,"Blocks publication of /smile/tooth-gems/ — which is the highest-volume quick win in the set (3,400/mo at KD 0)."
Q44,F. Written answers,RF skin tightening — who shouldn't have it?,(written answer),BLANK,—,BLOCKED,Already flagged in the architecture sheet as a pre-publish blocker for /skin-tightening/.
Q45,F. Written answers,"Training and certifications (what, and from where)",(written answer),BLANK,—,BLOCKED,Blocks the About page trust section and the training page from Q52.
Q46,F. Written answers,Teeth whitening gel — peroxide concentration,__%,BLANK,—,BLOCKED,Needed for the whitening FAQ; also a competitive differentiator worth stating.
Q47,G. Business details,Payment methods accepted,Cash / Debit / Credit / E-transfer / Other,"Cash, Debit, Credit, E-transfer","Medium — four marks, one per option, sitting slightly right of each box",Answered,All four. No 'Other' marked.
Q48,G. Business details,Second email (Browsonpointcourtenay@gmail.com) on the site for the lip kit,Retire it / Keep it — used for __,Retire it,High,Answered,Single contact email site-wide. Note this sits oddly with Q31 keeping the lip kit — where do lip kit enquiries go now?
Q49,G. Business details,Anything clients need to know about parking or finding the door?,(written answer),BLANK,—,BLOCKED,"Blocks the contact/directions block. Low effort, high conversion value for a local service business."
Q50,H. Site decisions,"Publish touch-up prices? (Powder brow $300/$125, Microblading $275/$100, Upper eyeliner $199/$135)",Yes publish / No / Yes but check figures,"Yes, publish it",High,Answered,Figures accepted as printed. Year-1 totals ($425 / $375 / $334) can be published too. Depends on the Q39 gap being closed.
Q51,H. Site decisions,Feature the free 30-min consultation as a main button on every permanent makeup page?,Yes / No,Yes,High,Answered,"Primary CTA on all five PMU pages, secondary to 'Book now'."
Q52,H. Site decisions,Training ($500 lash lift / $550 whitening) — give it a proper page?,Yes / No / Not a priority,Yes,High,Answered,"CONFLICT with Q30: the training page covers lash lift and whitening ONLY. No PMU training anywhere. Also NOTE: this page does not exist in the site architecture CSV — it's a 16th page, with no keyword research behind it."
